rank,title,year,rating,runtime,Mystery,Drama,Sport,Sci-Fi,Family,Adventure,Horror,Crime,Romance,Fantasy,Western,Animation,War,Thriller,Action,Music,Comedy,Musical,Biography,History
1,Irrla3ufer,2014,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Chaar Sahibzaade,2014,9.3,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Maikol Yordan de Viaje Perdido,2014,9.2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Lady Peacock,2014,9.1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,Queen of the Mountains,2014,9.1,135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
6,The Crucible,2014,9.0,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,The Dark Knight,2008,9.0,152,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,Cherry Red Kiss,2014,9.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,East Side Sushi,2014,9.0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Potential Inertia,2014,9.0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rites of Passage,2013,8.9,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Voice of the Vespers,2014,8.6,98,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13,Drishyam,2013,8.9,160,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Flock of Dudes,2014,8.9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,The Tailor's Apprentice,2014,8.9,84,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16,1,2014,8.9,170,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,Flea,2014,8.8,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Interstellar,2014,8.8,169,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Attack of the Clones Review,2010,8.8,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
